"","food.probability","energy","energy.sd","temperature","temperature.sd","population.density","pop.size","sex.ratio","replicate_num","median_moves"
"148","0.75","20","2","85","10","10","100","0.5","2","14"
"149","0.1","50","2","85","10","10","100","0.5","1","25"
"150","0.1","50","2","85","10","10","100","0.5","2","15"
"151","0.25","50","2","85","10","10","100","0.5","1","5"
"152","0.25","50","2","85","10","10","100","0.5","2","25"
"153","0.5","50","2","85","10","10","100","0.5","1","5"
"154","0.5","50","2","85","10","10","100","0.5","2","5"
"155","0.75","10","2","85","10","0","100","0.5","1","4"
"156","0.75","10","2","85","10","0","100","0.5","2","5"
"157","0.75","50","2","85","10","10","100","0.5","1","15"
"158","0.75","50","2","85","10","10","100","0.5","2","5"
"159","0.1","20","2","85","10","0","100","0.5","1","25"
"160","0.1","20","2","85","10","0","100","0.5","2","5"
